Unnamed: 0,addr,latitude,longitude
261,마포구 망원동 381-1,37.5545734,126.9080638
262,마포구 서교동 479-1,37.55461079999999,126.9127935
263,성동구 옥수동 528- ,37.546276,127.0112609
264,마포구 도화동 292-39,37.5390809,126.9467475
265,마포구 망원동 408-3,37.5549033,126.9020762
266,양천구 목동 131-3,37.5451746,126.8820481
267,양천구 목동 910- ,37.5382132,126.8855437
268,노원구 중계동 508- ,37.6401208,127.0671196
269,양천구 목동 906- ,37.5347931,126.8770361
270,양천구 신정동 115-71,37.5142426,126.8457851
271,양천구 신정동 115-71,37.5142426,126.8457851
272,양천구 목동 517-12,37.5464783,126.8799884
273,양천구 신정동 320- ,37.518018100000006,126.868181
274,양천구 신정동 310-7,37.51462120000001,126.856515
275,양천구 신정동 1032-14,37.5186629,126.8538182
276,양천구 신정동 115-71,37.5142426,126.8457851
277,성북구 보문동1가 147-36,37.5848581,127.0199521
278,성북구 종암동 2-27,37.5963501,127.0285802
279,성북구 장위동 157-5,37.6208596,127.05243670000002
280,성북구 상월곡동 1-1,37.6104389,127.0452355
281,마포구 망원동 450-2,37.5589096,126.8972248
282,마포구 도화동 540- ,37.5410989,126.9455492
283,강서구 화곡동 60-1,37.5504013,126.8435735
284,강서구 가양동 1459-9,37.5699024,126.8503623
285,강서구 가양동 1471- ,37.5677894,126.8526764
286,강서구 가양동 1485-5,37.5617312,126.8644367
287,강서구 방화동 855- ,37.5816729,126.8120959
288,강서구 등촌동 646-41,37.5526261,126.86351709999998
289,강서구 화곡동 162-1,37.5367521,126.8440768
290,강서구 마곡동 3- ,37.5730008,126.8385095
291,강서구 화곡동 98-99,37.54149279999999,126.8443907
292,강서구 가양동 1459-1,37.5718364,126.8442774
293,강서구 가양동 1465- ,37.5686849,126.8487096
294,강서구 가양동 1478-1,37.5649552,126.8518519
295,강서구 가양동 1474-1,37.5658164,126.8547524
296,강서구 가양동 1481-1,37.5636573,126.8545081
297,강서구 가양동 1482-1,37.5623144,126.8574517
298,강서구 가양동 1486-1,37.5623792,126.8609928
299,강서구 방화동 266-24,37.5711883,126.8149751
300,구로구 구로동 745-74,37.4869838,126.8862329
301,구로구 구로동 50- ,37.5010265,126.8904376
302,구로구 구로동 792-28,37.4863261,126.8885918
303,구로구 구로동 478-1,37.497769,126.8802722
304,구로구 구로동 139-82,37.49089179999999,126.8916242
305,구로구 구로동 801-27,37.4851734,126.8873217
306,구로구 고척동 226-9,37.5074917,126.8543519
307,구로구 고척동 164-129,37.5034474,126.8525501
308,구로구 개봉동 74-19,37.4986018,126.84759409999998
309,구로구 구로동 777-1,37.487255,126.8902118
310,양천구 목동 122-2,37.5460884,126.8813197
311,양천구 목동 199-58,37.539587,126.8745515
312,서초구 양재동 106-5,37.4753157,127.0348768
313,송파구 장지동 603-3,37.4720691,127.1273586
314,양천구 목동 905-30,37.532122,126.8755645
315,양천구 신월동 474-4,37.5254695,126.8498875
316,성북구 하월곡동 96-78,37.6052213,127.0355612
317,성북구 성북동 303-19,37.5962516,126.9938352
318,용산구 용산동3가 1-96,37.5344282,126.9754456
319,용산구 신계동 29-4,37.5340704,126.9628583
320,용산구 이태원동 34-114,37.5343196,126.9886742
321,용산구 이태원동 261-5,37.5430656,126.9902626
322,용산구 후암동 103-9,37.5502454,126.9762297
323,용산구 용산동2가 1-1485,37.545649,126.9843216
324,용산구 한강로2가 2-216,37.5348253,126.9714549
325,용산구 효창동 255-4,37.5444436,126.9616004
326,용산구 한강로3가 40-900,37.5231135,126.9610743
327,용산구 한강로2가 2-155,37.5311443,126.96842
328,성북구 성북동 25-20,37.5928289,126.9931219
329,용산구 효창동 257- ,37.5440057,126.9598881
330,용산구 한남동 524-3,37.53030220000001,127.0072534
331,성동구 행당동 128-7,37.557606,127.0372853
332,성동구 용답동 128-3,37.5699953,127.047474
333,성동구 용답동 234-1,37.5603573,127.06455990000002
334,성동구 성수동2가 273-11,37.5420644,127.0602051
335,성동구 금호동3가 451- ,37.5487764,127.0214062
336,성동구 금호동3가 1266- ,37.5494889,127.0190728
337,성동구 금호동3가 474-2,37.5489656,127.022449
338,성동구 행당동 30-40,37.5541896,127.0298409
